"6"|"Nokia"|"E71"|"705"|"12700"|"13700"|"2013-07-09 15:33:30"
"7"|"Nokia"|"5130 XpressMusic"|"726"|"4000"|"4101"|"2013-07-09 15:33:30"
"8"|"Nokia"|"E63"|"729"|"7700"|"7800"|"2013-07-09 15:33:30"
"9"|"Nokia"|"X2"|"1103"|"4200"|"4375"|"2013-07-09 15:33:30"
"10"|"Motorola"|"ROKR E8"|"779"|"6000"|"6500"|"2013-07-10 12:36:30"
"11"|"Motorola"|"WX395"|"1231"|"2100"|"2300"|"2013-07-10 12:36:30"
"12"|"Motorola"|"Charm"|"1265"|"9500"|"9525"|"2013-07-10 12:36:30"
"13"|"Micromax"|"C2i"|"935"|"1722"|"1722"|"2013-07-10 12:37:40"
