"Nokia E71","705","12700","13700"
"Nokia 5130 XpressMusic","726","4000","4101"
"Nokia E63","729","7700","7800"
"Nokia X2","1103","4200","4375"
"Motorola ROKR E8","779","6000","6500"
"Motorola WX395","1231","2100","2300"
"Motorola Charm","1265","9500","9525"
"Micromax C2i","935","1722","1722"
"LG KU990 Viewty","679","17500","18000"
"LG KP500","715","10500","11000"
"LG KM900 Arena","886","21000","23000"
